long,lat ,stat,location,depth
-147.8007,60.5362,PWS2,PWS,731
-149.4685,59.8452,GAK01,inner,270
-149.0488,59.4068,GAK04,middle,201
-147.7955,58.1003,GAK13,slope,1521
-148.3532,58.6803,GAK09,outer,280
-147.5048,57.7908,GAK15,slope,1523
-148.9102,59.2612,GAK05,middle,168
-147.6555,57.9453,GAK14,slope,1013
